slug,title,tag_count,topic_count,tags,topics,recommendation
2026-03-25-reverse-game-theory-housing-shortage,How Reverse Game Theory Could Solve The Housing Shortage,5,5,TDR;incentives;cooperation;quadratic-voting;land-readjustment,mechanism-design;game-theory;housing-policy;urban-planning;democratic-innovation,MERGE_CANDIDATE
2026-06-16-taylorism-alienation-amazon-uk,Taylorism and Alienation in Labour Process: A Case of Amazon Warehouse in the UK,14,8,Taylorism;Worker alienation;Management control systems;MCS;Labour process theory;Braverman;Karl Marx;Amazon warehouse;ADAPT;Digital Taylorism;Scientific management;UK retail logistics;Algorithmic management;Journal of Business Ethics,泰勒主义;工人异化;管理控制系统 (MCS);劳动过程理论;亚马逊仓库;批判管理会计;数字泰勒主义;平台资本主义劳动,MERGE_CANDIDATE
2026-06-22-chinatalk-ken-liu-ai-freedom,Ken Liu on AI and Freedom,20,8,Ken Liu;ChinaTalk;AI;LLM;道家;老子;庄子;道德经;三体;Tolkien;Orwell;Le Guin;Frankenstein;Pluribus;All That We See or Seem;Dandelion Dynasty;技术哲学;集体无意识;智能与意识;Barthes,人工智能;技术哲学;科幻文学;神话与意识形态;道家;自由;主体性;语言哲学,MERGE_CANDIDATE
2026-06-22-paulgraham-earn-billion,How to Earn a Billion Dollars,13,6,Paul Graham;Y Combinator;亿万富翁;创业公司;指数增长;增速;用户同理心;市场需求;Oxford Union;欺骗;Twitch;Airbnb;Justin.TV,创业;指数增长;亿万富翁;市场需求;同理心;政治经济学,MERGE_CANDIDATE
2026-06-22-your-ai-is-not-a-tool,Your AI Is Not a Tool,14,6,AI;工具;环境;系统;技术中立性;麦克卢汉;伊利奇;感知训练;苦行;认知投降;The Convivial Society;Antón Barba-Kay;教皇利奥;Magnifica humanitas,人工智能;技术哲学;媒介理论;伦理;麦克卢汉;伊凡·伊利奇,MERGE_CANDIDATE
2026-06-23-second-axial-age-otto-scharmer,We May Be Entering A Second Axial Age,21,8,Otto Scharmer;NOEMA;Theory U;Karl Jaspers;Charles Taylor;Henri Bortoft;Francisco Varela;Goethe;Ilya Prigogine;Myles Horton;Highlander Folk School;folk-bildung;AI;认识论单一生境;轴心时代;社会土壤;集体内在性;第四人称认知;数据主权;公民会议;再生农业,轴心时代;意识结构;社会土壤;人工智能;文明论;制度再造;第四人称认知;再生性,MERGE_CANDIDATE
2026-06-24-421news-the-people-are-never-right,The People Are Never Right,16,8,Curtis Yarvin;Mencius Moldbug;Juan Ruocco;421.news;红丸;Cathedral;Patchwork;Neocameralism;Neoreaction;辉格史;Unqualified Reservations;J.D. Vance;Peter Thiel;MAGA;右翼思想史;当代美国政治,Curtis Yarvin;Mencius Moldbug;新反动主义;新议事主义;大教堂;Patchwork;政治哲学;现代君主制,MERGE_CANDIDATE
2026-06-24-how-i-write-andrew-hunter-murray,Andrew Hunter Murray: Writing Advice Better Than Your English Classes,20,10,writing;storytelling;novel_writing;science_fiction;comedy;character_development;plot;research;jane_austen;edith_wharton;pixar;podcast;interview;creativity;literature;humor;british_literature;improvisation;reading;craft,写作技巧;小说创作;科幻文学;喜剧创作;人物塑造;情节设计;研究方法;文学评论;播客访谈;创意写作,MERGE_CANDIDATE
2026-06-24-how-i-write-andrew-stanton,Andrew Stanton: Storytelling Secrets from the Writer of Toy Story 5,21,9,Andrew Stanton;David Perell;How I Write;Pixar;皮克斯;storytelling;讲故事;screenwriting;剧本写作;animation;动画;WALL-E;Finding Nemo;海底总动员;Toy Story;玩具总动员;Steve Jobs;John Lasseter;Brain Trust;creative process;创作过程,Andrew Stanton;Pixar;storytelling;screenwriting;animation;creative writing;WALL-E;Finding Nemo;Toy Story,MERGE_CANDIDATE
2026-06-25-conan-harvard-commencement-2026,Conan O'Brien Delivers the Commencement Address | Harvard Commencement 2026,16,10,Conan O'Brien;哈佛;毕业演讲;2026;Humility;Pivot;Luck;Community;算法自恋;自我认知;成功学;政治讽刺;特朗普;AI;Walt Whitman;Toy Story 5,毕业演讲;自我认知;谦逊;转型;运气;社区;算法时代;移民;政治讽刺;成功学,MERGE_CANDIDATE
2026-06-25-jasmi-the-old-world-is-dying,The Old World Is Dying,15,10,ai;career_advice;youth;technology;future_of_work;personal_growth;resilience;creativity;relationships;tacit_knowledge;charisma;adaptability;self_help;essay;substack,AI时代职业建议;青年成长;技术变革;未来工作;个人韧性;隐性知识;社交技能;适应性;创业精神;终身学习,MERGE_CANDIDATE
2026-06-25-tandf-us-structural-power,No end in sight for global capitalism: The sinews of US structural power in the 21st century,15,10,global_capitalism;us_hegemony;international_political_economy;transnational_corporations;semiconductors;dollar_hegemony;china;globalization;structural_power;inequality;geopolitics;academic;taylor_francis;political_economy;economic_power,全球资本主义;美国霸权;国际政治经济学;跨国公司;半导体;美元霸权;中国崛起;全球化;结构性权力;不平等,MERGE_CANDIDATE
2026-06-26-chatgptpro-tyler-cowen-infovore,"An ""infovore"" shares his chats",15,9,Tyler Cowen;ChatGPT Pro;infovore;Marginal Revolution;Conversations with Tyler;George Mason University;Belle chess;Deep Blue;use-cases;10-use-cases;art-appraisal;travel-itinerary;chess-analysis;Sibelius;Algerian rai,人工智能;ChatGPT;AI使用案例;信息消费;知识工作者;经济学;艺术鉴赏;文化解码;Prompt工程,MERGE_CANDIDATE
2026-06-26-dario-amodei-bloomberg-interview,Inside the Mind of Anthropic CEO Dario Amodei | The Circuit | Extended Interview,25,15,Dario Amodei;Anthropic;Emily Chang;Bloomberg;The Circuit;Claude;Mythos;OpenAI;Sam Altman;Demis Hassabis;Leo Szilard;smooth exponential;race to the top;Long Term Benefit Trust;AI safety;AI governance;constitutional AI;cyber kill chain;patch and defend;SaaSpocalypse;Pentagon;Palantir;high-tech authoritarian;出口管制;token tax,Anthropic;AI 安全;AI 治理;AI 行业格局;OpenAI;Claude;AGI;文明崩溃概率;对华出口管制;Mythos 模型;网络安全;白领失业;创始人哲学;Szilard 模型;地缘政治,MERGE_CANDIDATE
2026-06-26-emilycampbell-layers-of-ai-experience,The Layers of AI experience,14,7,Emily Campbell;HackerRank;Shape of AI;Jesse James Garrett;Elements of User Experience;Jamie Mill;Elements of Product Design;Donella Meadows;杠杆点;驾驭层;Context Rot;Agentic UX;OpenAI Goblins;渐进式自主,AI 产品设计;AIUX;概率式设计;设计史;全栈式设计师;涌现;上下文工程,MERGE_CANDIDATE
2026-06-26-noema-how-ai-will-change-us,How AI Will Change Us,12,12,noema;ai-companions;loneliness;embodiment;presence;participation;interpretation;friendship;ritual;vulnerability;openai;openclaw-suggested,人工智能;AI与社会;存在主义;孤独;陪伴;意义;身体性;海德格尔;亚里士多德;技术哲学;nashat;Geworfenheit,MERGE_CANDIDATE
2026-06-26-palantir-philosophy-weigel-burton,The Philosophy Behind Palantir: Moira Weigel and Anthony Burton w/ Alexis Papazoglou,12,12,Palantir;技术哲学;监视资本主义;法兰克福学派;Peter Thiel;Alex Karp;技术-法西斯主义;第一性原理;模仿欲望;反动现代主义;AI 民族主义;云资本主义,Palantir;技术哲学;监视资本主义;法兰克福学派;Peter Thiel;Alex Karp;技术-法西斯主义;第一性原理;模仿欲望;反动现代主义;AI 民族主义;云资本主义,MERGE_CANDIDATE
2026-06-26-paste-greatest-songs-1960s,The 100 greatest songs of the 1960s,27,10,Paste Magazine;1960s;greatest-songs;decade-list;100-songs;rock;jazz;soul;Motown;country;psychedelic;folk;avant-garde;Wayne Shorter;Pink Floyd;King Crimson;Led Zeppelin;Marvin Gaye;Tina Turner;Patsy Cline;Serge Gainsbourg;Merle Haggard;Elvis Presley;Joni Mitchell;The Who;Etta James;Johnny Cash,音乐;1960年代;摇滚;爵士;民谣;灵魂乐;节奏布鲁斯;迷幻摇滚;榜单;音乐评论,MERGE_CANDIDATE
2026-06-27-emerson-compensation,Compensation,14,6,transcendentalism;compensation;moral-philosophy;cause-and-effect;american-literature;philosophy;19th-century;ralph-waldo-emerson;爱默生;超验主义;道德哲学;因果报应;补偿;美国文学,道德补偿原则;善恶因果的对等;命运与行动的互相回应;损失与收获的辩证;超验主义的宇宙观;与 Self-Reliance 的张力,MERGE_CANDIDATE
2026-06-27-thoreau-walking,Walking,13,6,philosophy;nature;walking;wilderness;transcendentalism;American literature;Thoreau;梭罗;步行;野性;自然;超验主义;美国文学,步行的艺术;野性作为世界的保存;朝圣与西方;文明与野性的关系;黄昏与夜行;康科德的日常生活,MERGE_CANDIDATE
2026-06-29-orwell-foundation-why-i-write,Why I Write,13,6,Orwell;奥威尔;essay;散文;写作动机;政治写作;极权主义;民主社会主义;风格;Animal Farm;Homage to Catalonia;Burmese Days;Spanish Civil War,写作动机;文学自传;政治写作;英国散文;20世纪文学;奥威尔,MERGE_CANDIDATE
